STATION,STATION_NAME,DATE,HPCP
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950325 13:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950325 14:00,0.08
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950325 15:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950325 16:00,0.13
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950325 17:00,0.04
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950401 01:00,0.00
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950410 02:00,0.10
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950410 04:00,0.13
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950410 06:00,0.03
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950410 07:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950410 08:00,0.04
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950410 09:00,0.04
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 09:00,0.05
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 10:00,0.10
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 11:00,0.15
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 12:00,0.06
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 13:00,0.13
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 14:00,0.20
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 15:00,0.11
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 16:00,0.10
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 17:00,0.05
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 18:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 19:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 21:00,0.04
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 22:00,0.09
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950417 23:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950419 19:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950419 20:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950419 21:00,0.10
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950419 22:00,0.18
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950419 23:00,0.15
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950420 00:00,0.10
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950420 01:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950420 02:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950422 22:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950423 08:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950423 12:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950423 15:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950423 20:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950423 21:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950424 00:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950426 17:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950429 02:00,0.04
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950429 03:00,0.06
